"","ID_uniprot","GeneID_entrez"
"3712","P35610",6646
"394","P35611",118
"715","P35613",682
"1582","P35637",2521
"169","P35658",8021
"1183","P35659",7913
"1656","P35754",2745
"906","P35790",1119
"3006","P35813",5494
"423","P35869",196
"1856","P35914",3155
"3113","P35998",5701
"562","P36404",402
"564","P36405",403
"271","P36406",373
"2229","P36507",5605
"626","P36542",509
"642","P36543",529
"1030","P36551",1371
"3383","P36578",6124
"2678","P36639",4521
"2163","P36776",9361
"2873","P36871",5236
"3015","P36873",5501
"1685","P36915",2794
"3552","P36952",5268
"1225","P36957",1743
"1722","P36969",2879
"247","P37108",6727
"2701","P37198",23636
"1887","P37235",3241
"1528","P37268",2222
"2897","P37287",5277
"3869","P37802",8407
"3871","P37837",6888
"1439","P38117",2109
"3287","P38159",27316
"988","P38432",8161
"1640","P38435",2677
"2148","P38571",3988
"27","P38606",523
"1915","P38646",3313
"1356","P38919",9775
"1956","P38935",3508
"3409","P39019",6223
"3372","P39023",6122
"1146","P39656",1650
"491","P39687",8125
"1532","P39748",2237
"769","P40121",822
"768","P40123",10486
"280","P40222",200081
"827","P40227",908
"198","P40306",5699
"3355","P40429",23521
"561","P40616",400
"2327","P40692",4292
"3792","P40763",6774
"2853","P40855",5824
"2273","P40925",4190
"2274","P40926",4191
"3309","P40937",5985
"3307","P40938",5983
"1777","P40939",3030
"1340","P41091",1968
"890","P41208",1069
"79","P41214",1939
"34","P41223",8896
"2484","P41227",8260
"1055","P41240",1445
"1613","P41250",2617
"1932","P41252",3376
"1327","P41567",10209
"3067","P41743",5584
"384","P42025",10120
"1301","P42126",1632
"3995","P42166",7112
"3996","P42167",7112
"3791","P42224",6772
"3794","P42226",6778
"3596","P42285",23517
"446","P42330",8644
"2443","P42345",2475
"2895","P42356",5297
"1406","P42566",2060
"41","P42575",835
"3417","P42677",6232
"1803","P42694",9931
"2510","P42695",23310
"211","P42696",23029
"2174","P42704",10128
"345","P42765",10449
"3377","P42766",11224
"3045","P42785",5547
"1926","P42858",3064
"1298","P42892",1889
"3602","P43007",6509
"2766","P43034",5048
"2258","P43121",4162
"1041","P43155",1384
"128","P43243",9782
"2416","P43246",4436
"1712","P43304",2820
"3777","P43307",6745
"459","P43353",221
"3245","P43487",5902
"2497","P43490",10135
"3115","P43686",5704
"4094","P43897",10102
"2995","P45877",5480
"4278","P45880",7417
"351","P45954",36
"793","P45973",23468
"4250","P45974",8078
"2231","P45985",6416
"2324","P46013",4288
"2890","P46020",5255
"3250","P46060",5905
"3298","P46063",5965
"2632","P46087",4839
"650","P46100",546
"1044","P46108",1398
"1045","P46109",1399
"2439","P46199",4528
"665","P46379",7917
"2655","P46459",4905
"2230","P46734",5606
"708","P46736",79184
"3369","P46776",6157
"3384","P46777",6125
"3362","P46778",6144
"3370","P46779",6158
"3432","P46781",6203
"3423","P46782",6193
"219","P46783",6204
"2226","P46821",4131
"1690","P46926",10007
"2565","P46934",4734
"4360","P46937",10413
"4260","P46939",7402
"1993","P46940",8826
"3815","P46977",3703
"777","P47755",830
"778","P47756",832
"454","P47895",220
"3185","P47897",5859
"3371","P47914",6159
"4226","P47985",7386
"634","P48047",539
"2146","P48059",3987
"3053","P48147",5550
"2276","P48163",4199
"2908","P48426",5305
"534","P48444",372
"1625","P48506",2729
"1626","P48507",2730
"833","P48509",977
"3130","P48556",5714
"3090","P48634",7916
"1739","P48637",2937
"826","P48643",22948
"3148","P48651",9791
"2574","P48681",10763
"1905","P48723",6782
"1056","P48729",1452
"1057","P48730",1453
"1940","P48735",3418
"2912","P48739",23760
"846","P48960",976
"2958","P49005",5425
"2245","P49006",65108
"3178","P49023",5829
"462","P49189",223
"3376","P49207",6164
"3349","P49247",22934
"2151","P49257",3998
